frequency, n1, n2, n3, n4, n5, n6 
1, 8,23,39,52,75,81
1, 12,32,54,60,89,90
1, 1,6,7,10,14,56
1, 8,21,39,56,74,81
1, 17,20,44,57,71,76
1, 3,6,12,20,69,83
1, 35,43,56,58,71,90
1, 11,19,57,63,84,89
1, 2,19,22,57,65,89
1, 7,8,10,29,40,52
1, 9,46,54,64,69,72
1, 12,26,46,69,72,87
1, 6,26,42,51,60,79
1, 1,28,52,53,63,77
1, 7,15,16,21,37,60
1, 15,33,34,43,49,75
1, 20,45,61,67,80,88
1, 6,20,31,33,63,74
1, 5,14,41,48,59,90
1, 7,9,35,61,67,68
1, 22,26,32,38,42,86
1, 12,13,19,37,64,70
1, 6,27,59,71,85,90
1, 4,14,20,61,75,78
1, 55,65,68,70,73,80
1, 31,40,52,55,62,76
1, 10,50,55,61,87,90
1, 10,19,25,35,51,73
1, 19,35,36,38,45,80
1, 6,25,62,80,85,86
1, 16,33,42,86,88,89
1, 27,29,30,42,48,73
1, 4,6,26,28,53,64
1, 12,18,54,71,80,85
1, 39,56,64,75,76,90
1, 10,39,45,65,74,86
1, 2,41,59,68,74,86
1, 24,50,53,59,80,85
1, 33,38,41,43,46,57
1, 6,9,11,19,45,51
1, 9,12,60,69,72,89
1, 7,24,42,49,54,65
1, 1,6,13,23,53,77
1, 17,38,47,56,76,85
1, 26,31,32,50,61,77
1, 29,51,52,62,72,79
1, 5,17,18,27,33,47
1, 7,8,13,17,38,43
1, 17,39,40,75,76,88
1, 27,70,73,84,88,90
1, 5,25,37,52,62,79
1, 3,16,20,55,60,80
1, 16,21,27,43,56,64
1, 11,29,60,61,82,84
1, 10,36,48,63,83,90
1, 18,35,50,57,67,72
1, 22,63,66,73,81,90
1, 9,32,40,49,52,60
1, 10,16,36,70,71,73
1, 1,2,26,41,65,80
1, 37,40,46,51,58,66
1, 42,45,56,75,79,90
1, 11,14,19,32,78,89
1, 1,11,42,43,61,81
1, 3,6,13,28,49,50
1, 4,10,27,28,34,57
1, 14,19,44,52,60,71
1, 13,46,48,76,81,83
1, 31,36,37,71,86,90
1, 1,5,14,20,39,58
1, 12,14,29,49,62,82
1, 7,33,54,72,73,90
1, 4,19,34,52,68,77
1, 6,19,30,45,52,89
1, 25,40,63,78,82,85
1, 23,36,41,43,83,90
1, 11,19,43,75,81,87
1, 9,31,33,37,79,86
1, 7,43,46,70,77,89
1, 23,33,36,55,76,79
1, 7,14,27,47,80,87
1, 37,46,54,55,65,87
1, 44,45,58,65,66,85
1, 2,14,38,53,56,71
1, 4,14,45,53,77,84
1, 16,34,50,58,80,90
1, 15,30,33,37,62,78
1, 2,14,42,52,75,79
1, 21,54,62,63,82,83
1, 27,32,40,49,75,82
1, 42,43,46,49,52,76
1, 9,31,32,47,70,89
1, 48,54,64,75,79,87
1, 14,28,40,52,54,83
1, 11,29,56,62,68,76
1, 6,54,72,75,81,87
1, 13,16,51,56,65,67
1, 27,43,46,51,52,72
1, 3,8,10,31,77,79
1, 19,22,25,67,74,89
1, 39,50,51,64,72,81
1, 9,69,70,72,77,81
1, 8,26,35,43,55,67
1, 26,31,50,71,85,87
1, 24,30,36,42,71,86
1, 6,9,54,70,78,79
1, 1,3,8,38,83,88
1, 15,29,50,57,79,88
1, 27,42,45,62,74,87
1, 6,7,11,19,34,49
1, 23,38,43,46,60,75
1, 9,27,32,51,53,71
1, 2,11,40,60,73,82
1, 13,25,45,70,78,88
1, 14,28,37,47,53,57
1, 2,45,55,77,84,88
1, 18,49,60,64,80,84
1, 6,32,35,43,53,69
1, 11,15,16,43,49,84
1, 1,23,27,33,37,85
1, 61,64,74,75,80,87
1, 20,22,33,44,50,74
1, 20,25,30,45,75,79
1, 30,41,55,68,76,82
1, 9,37,41,46,65,79
1, 20,24,31,38,54,72
1, 17,55,66,81,86,89
1, 1,9,12,14,58,84
1, 1,7,19,65,67,74
1, 19,56,73,84,85,86
1, 1,43,45,48,83,90
1, 3,11,19,28,52,87
1, 25,55,60,69,77,81
1, 13,25,54,56,57,58
1, 6,15,47,71,75,86
1, 5,38,56,76,77,89
1, 36,43,47,49,84,89
1, 20,39,56,64,66,85
1, 17,48,52,64,86,87
1, 4,62,67,69,70,84
1, 2,4,25,29,30,52
1, 26,37,53,81,86,90
1, 4,22,37,43,63,80
1, 20,31,44,51,65,74
1, 8,9,17,33,80,86
1, 13,16,20,21,25,65
1, 14,25,39,50,72,89
1, 15,51,63,79,83,90
1, 18,20,22,76,82,84
1, 1,11,40,50,53,80
1, 20,32,37,44,75,88
1, 4,7,22,27,39,88
1, 4,23,28,60,64,65
1, 18,29,32,55,79,82
1, 6,7,14,53,54,85
1, 2,8,55,66,73,83
1, 2,8,13,39,47,89
1, 10,21,35,40,63,79
1, 16,20,36,39,42,51
1, 43,45,46,47,69,90
1, 3,21,42,49,64,85
1, 1,11,21,50,67,75
1, 14,31,37,49,74,78
1, 3,15,23,33,46,78
1, 58,61,70,78,84,87
1, 56,71,75,78,81,85
1, 35,44,62,74,82,90
1, 8,12,47,64,83,88
1, 3,21,32,48,59,68
1, 20,21,24,43,76,89
1, 16,25,28,30,39,51
1, 7,14,42,43,56,57
1, 15,23,45,70,81,82
1, 1,12,67,75,81,90
1, 4,12,21,39,59,83
1, 4,8,12,44,77,88
1, 1,9,13,29,71,83
1, 2,6,18,20,49,83
1, 20,25,51,59,77,88
1, 16,41,46,53,86,87
1, 15,29,36,48,74,83
1, 4,39,56,59,65,78
1, 13,18,22,56,67,72
1, 2,23,36,62,75,79
1, 48,50,80,81,84,87
1, 4,18,24,49,66,81
1, 21,29,50,55,67,73
1, 2,17,21,49,69,74
1, 17,24,34,48,61,87
1, 23,26,32,52,71,75
1, 8,9,11,14,79,90
1, 17,22,45,48,53,61
1, 26,48,52,61,75,79
1, 5,9,53,57,61,84
1, 2,14,32,43,44,55
1, 1,12,21,36,40,84
1, 17,29,35,45,76,84
1, 13,15,18,49,65,73
1, 14,46,49,60,77,86
1, 19,54,55,71,80,84
1, 1,13,24,39,44,45
1, 18,21,36,38,45,62
1, 1,8,21,30,81,86
1, 5,6,32,61,67,85
1, 15,22,37,64,88,90
1, 59,66,69,72,73,80
1, 14,35,36,47,58,69
1, 2,15,35,54,60,78
1, 2,25,50,63,76,85
1, 3,4,15,21,61,67
1, 2,23,48,57,63,89
1, 1,10,35,57,67,78
1, 7,34,49,51,58,86
1, 12,20,55,79,81,82
1, 14,39,50,56,72,89
1, 3,13,33,42,56,85
1, 8,9,52,77,82,86
1, 22,42,52,55,62,74
1, 9,13,16,17,34,57
1, 16,27,43,46,62,85
1, 21,30,35,36,83,89
1, 4,9,22,23,47,73
1, 15,21,58,80,82,86
1, 13,31,32,57,60,79
1, 18,36,47,62,75,80
1, 8,24,45,47,72,84
1, 9,22,26,67,71,89
1, 44,56,63,71,79,90
1, 13,19,32,39,44,61
1, 19,42,45,51,62,88
1, 9,14,21,55,66,90
1, 11,17,35,42,71,76
1, 4,23,25,30,34,57
1, 19,22,23,28,41,74
1, 9,24,39,48,69,75
1, 13,33,47,48,70,85
1, 20,68,70,71,72,81
1, 18,23,24,35,48,82
1, 52,59,63,72,75,87
1, 45,64,73,80,81,85
1, 31,39,53,56,68,90
1, 11,15,58,66,74,79
1, 9,47,59,73,79,88
1, 1,7,21,49,84,87
1, 2,34,42,43,58,76
1, 29,32,39,43,66,73
1, 19,22,49,65,70,87
1, 5,19,43,44,73,77
1, 3,41,64,65,74,90
1, 5,6,28,61,77,87
1, 29,33,34,64,65,87
1, 14,18,54,63,70,87
1, 31,39,41,53,67,83
1, 11,67,72,74,75,77
1, 4,11,13,42,54,75
1, 3,4,17,20,23,54
1, 7,21,44,53,59,64
1, 8,25,31,65,87,90
1, 12,36,45,67,77,88
1, 21,25,47,62,79,87
1, 1,13,18,41,68,84
1, 14,37,48,50,65,66
1, 7,20,29,55,71,81
1, 16,19,31,46,69,74
1, 1,14,68,70,75,83
1, 37,51,58,62,63,86
1, 13,30,38,48,50,77
1, 9,10,26,53,68,72
1, 15,30,62,63,67,74
1, 9,25,35,59,76,81
1, 4,16,35,57,69,88
1, 9,25,48,61,73,82
1, 9,32,42,55,71,90
1, 9,22,36,47,69,85
1, 34,39,57,62,79,83
1, 4,32,34,56,61,82
1, 1,52,70,73,83,89
1, 5,35,49,52,65,89
1, 3,32,37,42,43,89
1, 16,21,30,35,57,78
1, 13,42,57,61,63,82
1, 3,23,61,82,83,88
1, 20,22,24,25,48,79
1, 1,13,21,25,61,63
1, 2,19,43,49,77,82
1, 41,51,54,63,66,69
1, 9,11,17,20,33,75
1, 6,28,55,57,78,83
1, 8,10,20,40,80,85
1, 36,48,70,77,82,88
1, 6,42,68,70,75,87
1, 7,32,44,47,65,79
1, 27,30,35,39,49,69
1, 6,20,25,45,56,60
1, 22,39,54,63,68,73
1, 40,42,57,62,67,88
1, 11,45,50,54,57,62
1, 9,11,40,48,68,84
1, 10,26,50,55,62,81
1, 5,27,30,31,34,86
1, 17,35,41,81,82,86
1, 2,49,56,76,86,89
1, 5,12,40,61,63,88
1, 27,32,37,70,82,88
1, 14,23,24,41,71,73
1, 24,37,64,81,84,90
1, 8,16,33,64,68,82
1, 3,7,14,45,68,70
1, 13,21,70,71,72,85
1, 17,32,33,50,61,82
1, 10,17,21,35,36,76
1, 2,3,37,38,58,59
1, 2,8,30,74,76,88
1, 38,58,61,64,82,87
1, 11,21,22,50,59,63
1, 8,17,30,61,78,88
1, 18,31,62,64,72,77
1, 24,26,31,39,49,81
1, 8,14,23,25,45,69
1, 1,9,37,69,71,83
1, 11,39,63,64,74,88
1, 10,20,24,38,49,87
1, 7,13,49,71,80,88
1, 4,5,11,15,20,46
1, 1,18,30,34,65,75
1, 18,22,31,54,71,80
1, 14,26,31,40,58,68
1, 16,32,35,45,72,77
1, 21,38,41,43,52,77
1, 15,43,48,54,55,76
1, 20,25,51,59,84,90
1, 25,60,64,71,75,85
1, 4,45,59,77,78,79
1, 4,18,26,47,61,80
1, 23,35,36,51,59,80
1, 13,18,24,50,58,66
1, 4,5,22,48,53,86
1, 2,18,35,53,60,66
1, 1,12,17,65,70,90
1, 15,29,30,68,79,85
1, 23,45,54,61,69,75
1, 25,28,44,52,87,89
1, 1,21,63,70,79,84
1, 1,47,54,81,84,89
1, 5,13,20,32,38,59
1, 4,12,35,61,66,84
1, 8,9,19,48,51,81
1, 5,22,34,61,62,77
1, 12,23,29,48,52,78
1, 4,9,69,74,76,85
1, 7,19,27,51,63,86
1, 10,12,15,51,66,68
1, 16,17,52,60,80,81
1, 6,12,18,22,25,82
1, 3,15,49,65,70,72
1, 2,51,55,57,61,82
1, 19,21,30,59,61,89
1, 16,20,29,31,38,45
1, 8,30,64,69,80,88
1, 37,43,49,66,73,88
1, 2,12,19,25,31,76
1, 3,27,54,65,81,83
1, 17,27,29,31,44,46
1, 15,33,41,48,52,56
1, 22,32,34,70,78,90
1, 3,16,37,56,58,79
1, 1,29,35,38,45,51
1, 16,30,68,75,83,86
1, 7,30,45,50,55,74
1, 1,13,37,53,62,71
1, 14,22,27,28,34,66
1, 21,22,46,56,63,66
1, 23,52,71,74,78,86
1, 3,17,35,52,69,83
1, 20,24,39,63,65,70
1, 11,18,27,37,65,72
1, 14,34,35,37,41,61
1, 40,46,51,61,65,76
1, 11,31,38,50,59,62
1, 20,27,40,60,61,66
1, 1,15,22,33,42,80
1, 5,30,32,35,55,87
1, 7,31,33,78,86,87
1, 29,32,36,72,77,82
1, 3,12,26,47,54,87
1, 10,28,53,64,76,79
1, 5,7,11,67,70,85
1, 3,4,8,28,77,86
1, 14,15,34,55,59,81
1, 9,12,21,34,64,67
1, 4,5,55,77,80,81
1, 34,56,61,62,70,77
1, 13,17,25,55,64,85
1, 9,10,36,67,76,83
1, 27,30,69,75,81,83
1, 16,22,35,41,53,62
1, 5,20,29,41,56,86
1, 1,2,33,62,68,79
1, 23,29,42,44,59,82
1, 6,9,24,49,78,79
1, 7,8,53,72,82,84
1, 8,44,54,58,59,86
1, 26,34,68,82,83,87
1, 2,16,17,65,69,72
1, 8,12,18,31,32,85
1, 2,46,49,56,82,84
1, 1,13,37,53,62,63
1, 42,44,45,47,72,79
1, 4,12,24,61,73,75
1, 3,9,41,69,74,79
1, 6,11,34,51,59,82
1, 33,37,48,65,83,84
1, 17,38,42,50,68,86
1, 6,36,37,59,61,62
1, 8,16,33,64,71,86
1, 5,18,24,51,55,74
1, 16,23,40,62,79,88
1, 6,7,45,46,67,85
1, 14,20,24,36,40,81
1, 15,45,62,63,80,82
1, 13,16,28,32,71,85
1, 29,61,62,69,80,85
1, 6,15,41,57,81,83
1, 8,42,45,59,68,88
1, 9,37,39,40,42,86
1, 4,61,63,79,84,85
1, 2,17,25,50,52,84
1, 6,16,40,61,64,82
1, 5,8,37,77,79,90
1, 32,33,37,43,44,79
1, 36,45,46,47,74,75
1, 27,35,54,61,83,89
1, 5,22,35,38,74,82
1, 36,38,54,56,75,85
1, 3,9,17,38,54,62
1, 15,31,38,47,55,82
